model,layer,n,d,participation_ratio,anisotropy
gemma3_1b_it,layer_0,10,1152,7.937296390533447,0.2051749974489212
gemma3_1b_it,layer_12,10,1152,1.1080775260925293,0.9497911930084229
gemma3_1b_it,layer_16,10,1152,1.6251373291015625,0.7801372408866882
gemma3_1b_it,layer_4,10,1152,2.1256306171417236,0.6750112175941467
gemma3_1b_it,layer_8,10,1152,1.1006814241409302,0.9530035257339478
lfm2_5_1_2b_instruct,layer_0,10,2048,8.220061302185059,0.18275366723537445
lfm2_5_1_2b_instruct,layer_12,10,2048,4.129397392272949,0.4459453821182251
lfm2_5_1_2b_instruct,layer_16,10,2048,7.875729560852051,0.19234277307987213
lfm2_5_1_2b_instruct,layer_4,10,2048,7.839961528778076,0.208054319024086
lfm2_5_1_2b_instruct,layer_8,10,2048,3.8356733322143555,0.4698183834552765
qwen2_5_0_5b_instruct,layer_0,10,896,7.984940528869629,0.20250661671161652
qwen2_5_0_5b_instruct,layer_12,10,896,1.0514984130859375,0.9751582741737366
qwen2_5_0_5b_instruct,layer_16,10,896,1.0830779075622559,0.9607610702514648
qwen2_5_0_5b_instruct,layer_4,10,896,1.0313254594802856,0.9846779704093933
qwen2_5_0_5b_instruct,layer_8,10,896,1.045042634010315,0.9781766533851624
qwen3_0_6b,layer_0,10,1024,8.285888671875,0.17390991747379303
qwen3_0_6b,layer_12,10,1024,1.020548701286316,0.9898738265037537
qwen3_0_6b,layer_16,10,1024,1.031233787536621,0.9847222566604614
qwen3_0_6b,layer_4,10,1024,1.0035687685012817,0.9982201457023621
qwen3_0_6b,layer_8,10,1024,1.0082967281341553,0.9958760738372803
qwen3_5_0_8b,layer_0,10,1024,7.770256042480469,0.21457883715629578
qwen3_5_0_8b,layer_12,10,1024,7.0586395263671875,0.25041672587394714
qwen3_5_0_8b,layer_16,10,1024,7.485127925872803,0.2287493199110031
qwen3_5_0_8b,layer_4,10,1024,7.802216529846191,0.20549613237380981
qwen3_5_0_8b,layer_8,10,1024,7.467561721801758,0.22197555005550385
