model_a,model_b,layer,n,cka,rsa_spearman
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,10,0.9840916395187378,0.8212121212121211
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,10,0.33727777004241943,0.5776021080368906
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,10,0.47473788261413574,0.5545454545454545
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,10,0.6571900844573975,0.597760210803689
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_8,10,0.33268097043037415,0.7484848484848484
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_0,10,0.9866423606872559,0.8028985507246376
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_12,10,0.4026322364807129,0.736627140974967
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_16,10,0.36130332946777344,0.8362318840579709
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_4,10,0.4405030608177185,0.5101449275362319
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_8,10,0.4365469813346863,0.8326745718050065
gemma3_1b_it,qwen3_0_6b,layer_0,10,0.9846382141113281,0.7837944664031621
gemma3_1b_it,qwen3_0_6b,layer_12,10,0.39959266781806946,0.6345191040843213
gemma3_1b_it,qwen3_0_6b,layer_16,10,0.35402870178222656,0.852437417654809
gemma3_1b_it,qwen3_0_6b,layer_4,10,0.4030538499355316,0.4706192358366271
gemma3_1b_it,qwen3_0_6b,layer_8,10,0.43918514251708984,0.6582345191040843
gemma3_1b_it,qwen3_5_0_8b,layer_0,10,0.9887285828590393,0.833596837944664
gemma3_1b_it,qwen3_5_0_8b,layer_12,10,0.5036931037902832,0.7433465085638998
gemma3_1b_it,qwen3_5_0_8b,layer_16,10,0.5574871301651001,0.7433465085638998
gemma3_1b_it,qwen3_5_0_8b,layer_4,10,0.6072253584861755,0.5496706192358366
gemma3_1b_it,qwen3_5_0_8b,layer_8,10,0.5228769779205322,0.8364953886693016
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,10,0.9897385835647583,0.8554677206851118
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,10,0.43266403675079346,0.775098814229249
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,10,0.3605940639972687,0.6546772068511199
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,10,0.39460980892181396,0.7606060606060606
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,10,0.5584103465080261,0.8608695652173911
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,10,0.9906454682350159,0.8397891963109354
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,10,0.2987957000732422,0.7947299077733859
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,10,0.3378300666809082,0.6068511198945981
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,10,0.3757719397544861,0.7054018445322792
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,10,0.42566969990730286,0.6677206851119895
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,10,0.98713618516922,0.9073781291172595
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,10,0.7412740588188171,0.8047430830039525
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,10,0.9649660587310791,0.8691699604743083
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,10,0.9671804308891296,0.8591567852437417
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,10,0.7301527857780457,0.7063241106719367
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,10,0.9898447394371033,0.8729907773386034
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,10,0.9106287360191345,0.9134387351778654
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,10,0.9141839742660522,0.9306982872200263
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,10,0.9130105376243591,0.9089591567852436
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,10,0.9140193462371826,0.8712779973649539
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,10,0.9939488172531128,0.9274044795783924
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_12,10,0.3961558938026428,0.7681159420289854
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_16,10,0.38003483414649963,0.7478260869565216
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_4,10,0.39263060688972473,0.6198945981554678
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_8,10,0.4743444323539734,0.8093544137022397
qwen3_0_6b,qwen3_5_0_8b,layer_0,10,0.9868307709693909,0.9104084321475626
qwen3_0_6b,qwen3_5_0_8b,layer_12,10,0.3325084149837494,0.6807641633728589
qwen3_0_6b,qwen3_5_0_8b,layer_16,10,0.32979586720466614,0.7221343873517787
qwen3_0_6b,qwen3_5_0_8b,layer_4,10,0.3560984134674072,0.6316205533596837
qwen3_0_6b,qwen3_5_0_8b,layer_8,10,0.41562342643737793,0.7567852437417655
