model_a,model_b,layer,domain,cka,rsa_spearman,knn_overlap,procrustes_residual
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,algebraic_geometry,0.893822193145752,0.7676724786728372,0.5307199173375644,0.0281245435424438
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,analogy_composition,0.8879199624061584,0.7432430920992854,0.5193349542614248,0.02909341951069708
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,factual_recall,0.8955226540565491,0.7647591120008398,0.576740522549346,0.028022533417650458
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,logical_reasoning,0.8820410966873169,0.7474711750341155,0.5193454584631055,0.028413831081252873
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,narrative_structure,0.9043970108032227,0.7705867407219522,0.5578265503845999,0.02775103606359783
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,symbolic_code,0.8883321285247803,0.7819485544011027,0.5551735764235763,0.027887151418206187
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,algebraic_geometry,0.4106579124927521,0.6796579890621504,0.45895793748734914,0.04370471404303251
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,analogy_composition,0.23129306733608246,0.5853812142834683,0.4230732154842062,0.05758530655539213
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,factual_recall,0.25974494218826294,0.6396894458588516,0.4177050645432998,0.05612189211076657
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,logical_reasoning,0.28361645340919495,0.630025914091748,0.4329305558562524,0.05076196780383005
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,narrative_structure,0.277127206325531,0.6651327257382518,0.44229822465116575,0.056595036846834715
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,symbolic_code,0.24253928661346436,0.5845688740610859,0.4231594609380987,0.05613888150540131
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,algebraic_geometry,0.7335400581359863,0.6221216301436249,0.430799059901227,0.030524715949414916
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,analogy_composition,0.5616434216499329,0.6060551710158705,0.4590060429766312,0.03526751134905795
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,factual_recall,0.6576725840568542,0.5459536758483052,0.4112696329298496,0.032791912941991734
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,logical_reasoning,0.6695910096168518,0.5826167251908227,0.42478479037302563,0.03307876439295688
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,narrative_structure,0.675450325012207,0.5909173274583891,0.4595489477842419,0.03256175953898587
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,symbolic_code,0.5916752219200134,0.6294559928617321,0.40637677252228327,0.035028167825734285
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,algebraic_geometry,0.7721054553985596,0.6960929036069782,0.4187876807574949,0.031520662838466745
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,analogy_composition,0.7674622535705566,0.7201478392090426,0.4261906312641607,0.03159879888092109
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,factual_recall,0.7925001978874207,0.6701526431744639,0.4339994237788355,0.03175590125874545
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,logical_reasoning,0.7750308513641357,0.6768673248393503,0.4109734340307096,0.03175828044834389
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,narrative_structure,0.7640981078147888,0.659050805518097,0.3756828319599218,0.03272611328209653
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,symbolic_code,0.7437512874603271,0.662469657223156,0.41129983363729494,0.03257728222329243
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_8,algebraic_geometry,0.367399126291275,0.6913968422373472,0.38500863472612695,0.04653945206828732
