model_a,model_b,layer,cka,rsa_spearman,knn_overlap,procrustes_residual
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_0,0.9815794825553894,0.9016805388526621,0.5431901632366029,0.007733141997251861
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_12,0.6622622609138489,0.7406664006784095,0.433020743160062,0.01609355458005547
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_16,0.9172700047492981,0.817898705944898,0.43196420774787647,0.010918974448359254
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_4,0.8825892210006714,0.7238838861723476,0.41282230590473623,0.010612786936669907
gemma3_1b_it,lfm2_5_1_2b_instruct,layer_8,0.5605050325393677,0.7912657106851182,0.41049633494873433,0.01637599728892766
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_0,0.9815468192100525,0.9096696878020999,0.5854753508159081,0.004673299814019877
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_12,0.5300151705741882,0.8398867494084663,0.3813041375405926,0.018491922477532747
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_16,0.6899523735046387,0.9038068589138634,0.3781899801694693,0.01503330267704653
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_4,0.48004865646362305,0.6566468391524732,0.4162927485740953,0.023372477426431865
gemma3_1b_it,qwen2_5_0_5b_instruct,layer_8,0.49830684065818787,0.7567305159364952,0.43686185231463864,0.019606154232279353
gemma3_1b_it,qwen3_0_6b,layer_0,0.9847890138626099,0.9281854774039292,0.5926074112935569,0.004518096125968353
gemma3_1b_it,qwen3_0_6b,layer_12,0.16357670724391937,0.8863957213578862,0.39968282155008156,0.024136234170959357
gemma3_1b_it,qwen3_0_6b,layer_16,0.3557005524635315,0.9079274829315885,0.37029473708266275,0.021271120878801623
gemma3_1b_it,qwen3_0_6b,layer_4,0.19015823304653168,0.6536009685428013,0.42214100871608606,0.030746587681261008
gemma3_1b_it,qwen3_0_6b,layer_8,0.09116362780332565,0.8164069765872649,0.4334395954635892,0.027974440454046096
gemma3_1b_it,qwen3_5_0_8b,layer_0,0.9832590818405151,0.9124588905337965,0.6015758244163817,0.004465751310381192
gemma3_1b_it,qwen3_5_0_8b,layer_12,0.6485419869422913,0.8053661676548644,0.42452860721436575,0.008993883486975036
gemma3_1b_it,qwen3_5_0_8b,layer_16,0.9255334138870239,0.8649039296013425,0.37381468663202405,0.009111868487089081
gemma3_1b_it,qwen3_5_0_8b,layer_4,0.8840774893760681,0.7019765970462722,0.44822280417094656,0.00944842095585928
gemma3_1b_it,qwen3_5_0_8b,layer_8,0.6319577693939209,0.7652944469063061,0.4716735150384531,0.009026997163077657
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_0,0.987818717956543,0.928779936051882,0.6519023174537881,0.007146940457065426
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_12,0.4922914505004883,0.8331008448643982,0.4468605634704706,0.01811210198817982
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_16,0.667666494846344,0.8295550280021124,0.38899189855265703,0.015637148498427785
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_4,0.4078727662563324,0.6801058526044603,0.49942114530349824,0.02258503954268897
lfm2_5_1_2b_instruct,qwen2_5_0_5b_instruct,layer_8,0.4340488016605377,0.768302436385071,0.4608260699998315,0.01928376863553778
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_0,0.992301881313324,0.9544559484676698,0.6877596708846709,0.006737429500682686
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_12,0.3531460165977478,0.7408825526877143,0.46129649790640503,0.023423201831290544
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_16,0.4087044298648834,0.7909674553589956,0.34067797377201403,0.02131212712088412
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_4,0.270161509513855,0.7330902782129323,0.5202079983426733,0.03045763751990661
lfm2_5_1_2b_instruct,qwen3_0_6b,layer_8,0.274138480424881,0.758315913959967,0.4667451287962123,0.02813902807096458
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,0.9881700873374939,0.94051797283445,0.6400885756400463,0.007319947155156691
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,0.8964358568191528,0.8395243989521811,0.5012557628559949,0.008418685426065102
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,0.9492068290710449,0.8188214796963004,0.35995706835877117,0.009365195421985146
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,0.9607985019683838,0.8330639731800672,0.579569169936817,0.006875594572075015
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,0.9043981432914734,0.8353209228856845,0.4852762467294201,0.008641289511200172
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,0.9947229027748108,0.975579613814357,0.8431793206793208,0.002339108698548034
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,0.15424777567386627,0.8651754102172546,0.5830752254281667,0.026888509751236925
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,0.2641267478466034,0.9192853168302819,0.5029903674756616,0.02278604790172563
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,0.06101778522133827,0.6928982969259545,0.6095485437764849,0.03392892121522864
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,0.10018415749073029,0.8368564421622379,0.6081183930448636,0.030772627815017158
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,0.9946860671043396,0.9789963515378785,0.7937518037518038,0.002643427812573679
