model_a,model_b,layer,domain,cka,rsa_spearman,knn_overlap,procrustes_residual
codegemma_2b,gemma1_1_2b_it,layer_0,algebraic_geometry,0.9933039546012878,0.8989946598594332,0.7507270507270506,0.01620306674145733
codegemma_2b,gemma1_1_2b_it,layer_0,analogy_composition,0.9933845400810242,0.9236626687290523,0.7305250305250305,0.016614583843142874
codegemma_2b,gemma1_1_2b_it,layer_0,factual_recall,0.9943646788597107,0.9054274663708183,0.7876456876456875,0.014984731378227253
codegemma_2b,gemma1_1_2b_it,layer_0,logical_reasoning,0.9959306120872498,0.9313619180770246,0.7334110334110336,0.014639757994200716
codegemma_2b,gemma1_1_2b_it,layer_0,narrative_structure,0.9943557381629944,0.9416748185328973,0.7667998667998669,0.014445019781643977
codegemma_2b,gemma1_1_2b_it,layer_0,symbolic_code,0.9951464533805847,0.9259131669526501,0.8055944055944054,0.014092174435923768
codegemma_2b,gemma1_1_2b_it,layer_12,algebraic_geometry,0.9298583269119263,0.8352838525987081,0.6784548784548786,0.03642980909844994
codegemma_2b,gemma1_1_2b_it,layer_12,analogy_composition,0.9483758211135864,0.8072532900251772,0.6662448662448663,0.03368266994395455
codegemma_2b,gemma1_1_2b_it,layer_12,factual_recall,0.9157099723815918,0.7529415966772458,0.6445887445887448,0.0418149409650048
codegemma_2b,gemma1_1_2b_it,layer_12,logical_reasoning,0.947264552116394,0.7867409106084086,0.6546120546120547,0.036755390278242
codegemma_2b,gemma1_1_2b_it,layer_12,narrative_structure,0.9383584856987,0.7989271609491834,0.6773559773559775,0.035471919090968425
codegemma_2b,gemma1_1_2b_it,layer_12,symbolic_code,0.9285865426063538,0.7361826231855113,0.6019425019425021,0.038136916154771924
codegemma_2b,gemma1_1_2b_it,layer_4,algebraic_geometry,0.9700297117233276,0.8906179430472478,0.7596736596736596,0.025382213447907684
codegemma_2b,gemma1_1_2b_it,layer_4,analogy_composition,0.9677273631095886,0.8787426542087684,0.762160062160062,0.026288837083813077
codegemma_2b,gemma1_1_2b_it,layer_4,factual_recall,0.9696871638298035,0.9065449159325127,0.7919968919968918,0.02524095342820129
codegemma_2b,gemma1_1_2b_it,layer_4,logical_reasoning,0.9757484793663025,0.9260943789298435,0.7884226884226885,0.0246302214203468
codegemma_2b,gemma1_1_2b_it,layer_4,narrative_structure,0.9746282696723938,0.8878478635793082,0.7748251748251748,0.025682419895812103
codegemma_2b,gemma1_1_2b_it,layer_4,symbolic_code,0.9652171730995178,0.8819193307840224,0.7115662115662116,0.02708271768721548
codegemma_2b,gemma1_1_2b_it,layer_8,algebraic_geometry,0.9255512356758118,0.8132160825265294,0.6673437673437674,0.03583829517851807
codegemma_2b,gemma1_1_2b_it,layer_8,analogy_composition,0.9591261744499207,0.8555712842433051,0.660672660672661,0.02995541102597315
codegemma_2b,gemma1_1_2b_it,layer_8,factual_recall,0.9502430558204651,0.8287885039005038,0.7133533133533132,0.03147439356902207
codegemma_2b,gemma1_1_2b_it,layer_8,logical_reasoning,0.9597875475883484,0.8592628769114365,0.7109557109557109,0.031222373810427577
codegemma_2b,gemma1_1_2b_it,layer_8,narrative_structure,0.9555600881576538,0.836478714517514,0.7126540126540127,0.030763525637870902
codegemma_2b,gemma1_1_2b_it,layer_8,symbolic_code,0.9277068972587585,0.7646142429989926,0.6184121434121435,0.03586079427069248
codegemma_2b,gemma2_2b,layer_0,algebraic_geometry,0.6261692047119141,0.7239946234129373,0.6287462537462538,0.082347439117203
codegemma_2b,gemma2_2b,layer_0,analogy_composition,0.5989364385604858,0.779873661866906,0.6326562326562327,0.0853266127423711
codegemma_2b,gemma2_2b,layer_0,factual_recall,0.6196246147155762,0.6830638965386033,0.6474858474858475,0.08056477102266434
codegemma_2b,gemma2_2b,layer_0,logical_reasoning,0.609850287437439,0.7128228977296749,0.5917526917526919,0.08928663796364852
codegemma_2b,gemma2_2b,layer_0,narrative_structure,0.6833524703979492,0.772646175960766,0.6222444222444222,0.08159299857900645
codegemma_2b,gemma2_2b,layer_0,symbolic_code,0.682316780090332,0.7891917187730069,0.6901986901986901,0.07944322256429481
codegemma_2b,gemma2_2b,layer_12,algebraic_geometry,0.8790079355239868,0.7462815098179569,0.5981657231657231,0.05052374374146402
codegemma_2b,gemma2_2b,layer_12,analogy_composition,0.839981198310852,0.6375374123279544,0.5273809523809524,0.054335280395525085
codegemma_2b,gemma2_2b,layer_12,factual_recall,0.8971332907676697,0.7426552292703265,0.6140526140526141,0.04772805606219809
codegemma_2b,gemma2_2b,layer_12,logical_reasoning,0.8530198335647583,0.6666568504104604,0.6417471417471418,0.051412792512140065
codegemma_2b,gemma2_2b,layer_12,narrative_structure,0.8959240317344666,0.6997504143966573,0.6262737262737262,0.04598362826265379
codegemma_2b,gemma2_2b,layer_12,symbolic_code,0.9266259670257568,0.7410269456232862,0.6001776001776002,0.04044368523030781
codegemma_2b,gemma2_2b,layer_4,algebraic_geometry,0.9489226341247559,0.8927954024932319,0.7895770895770895,0.03190858796004495
codegemma_2b,gemma2_2b,layer_4,analogy_composition,0.9542351365089417,0.8390270535049137,0.7407148407148407,0.030175796027154814
codegemma_2b,gemma2_2b,layer_4,factual_recall,0.9561816453933716,0.8925953841241979,0.7425796425796425,0.029585149968214913
codegemma_2b,gemma2_2b,layer_4,logical_reasoning,0.9605442881584167,0.8660719570456179,0.765190365190365,0.028130876120131938
codegemma_2b,gemma2_2b,layer_4,narrative_structure,0.96348637342453,0.8014004201552037,0.7192363192363193,0.029044137940427362
codegemma_2b,gemma2_2b,layer_4,symbolic_code,0.9478015303611755,0.8312807152843483,0.7213453213453211,0.03237694995670488
codegemma_2b,gemma2_2b,layer_8,algebraic_geometry,0.8861575722694397,0.7958602612193248,0.6242757242757242,0.04785442097553751
codegemma_2b,gemma2_2b,layer_8,analogy_composition,0.9036431312561035,0.7689866562089521,0.6142635142635142,0.0421621724199509
codegemma_2b,gemma2_2b,layer_8,factual_recall,0.9255126714706421,0.8053666736157985,0.7100899100899102,0.039229531379129975
codegemma_2b,gemma2_2b,layer_8,logical_reasoning,0.9141606092453003,0.7957937828109579,0.7165279165279164,0.040960016270887835
codegemma_2b,gemma2_2b,layer_8,narrative_structure,0.9450922012329102,0.8012022970039522,0.6779664779664782,0.035312303403196646
codegemma_2b,gemma2_2b,layer_8,symbolic_code,0.9265087246894836,0.7796844316606335,0.6093018093018094,0.039125273796263266
codegemma_2b,gemma2_2b_it,layer_0,algebraic_geometry,0.6261261701583862,0.723934705373817,0.6287462537462538,0.08239010849588058
codegemma_2b,gemma2_2b_it,layer_0,analogy_composition,0.5996394157409668,0.780206199694724,0.6326562326562327,0.0852861415821309
codegemma_2b,gemma2_2b_it,layer_0,factual_recall,0.6202346086502075,0.6829045524588992,0.6517593517593517,0.08053566095177363
codegemma_2b,gemma2_2b_it,layer_0,logical_reasoning,0.6102667450904846,0.7125655854692196,0.5917526917526919,0.0892785796430898
codegemma_2b,gemma2_2b_it,layer_0,narrative_structure,0.6836943626403809,0.7723145128488477,0.6222444222444222,0.08160278718041437
codegemma_2b,gemma2_2b_it,layer_0,symbolic_code,0.682570219039917,0.7887453220922621,0.6901986901986901,0.07946153198271486
codegemma_2b,gemma2_2b_it,layer_12,algebraic_geometry,0.9144191741943359,0.8148994732752425,0.6467976467976466,0.043997902460531854
codegemma_2b,gemma2_2b_it,layer_12,analogy_composition,0.8938302397727966,0.7124897767579238,0.5930180930180932,0.04687527245460365
codegemma_2b,gemma2_2b_it,layer_12,factual_recall,0.8663761615753174,0.6737854934199495,0.5822288822288822,0.05265402417038101
codegemma_2b,gemma2_2b_it,layer_12,logical_reasoning,0.8874148726463318,0.749045174702633,0.6543567543567544,0.04892899067651069
codegemma_2b,gemma2_2b_it,layer_12,narrative_structure,0.9028072357177734,0.6682811978359527,0.5803502053502054,0.046026743814380516
codegemma_2b,gemma2_2b_it,layer_12,symbolic_code,0.9335880279541016,0.7871810384918732,0.6435786435786436,0.038206062095123165
codegemma_2b,gemma2_2b_it,layer_4,algebraic_geometry,0.9553099274635315,0.8765032357198984,0.7812631812631812,0.030099108674045718
codegemma_2b,gemma2_2b_it,layer_4,analogy_composition,0.9510861039161682,0.8391846481528187,0.7533022533022533,0.03147051676051559
codegemma_2b,gemma2_2b_it,layer_4,factual_recall,0.9618750214576721,0.9027257605290281,0.7536130536130536,0.027044357687256694
codegemma_2b,gemma2_2b_it,layer_4,logical_reasoning,0.9638802409172058,0.8691828841424212,0.7662004662004661,0.027311046745126202
codegemma_2b,gemma2_2b_it,layer_4,narrative_structure,0.960091233253479,0.799042040303993,0.7001887001887004,0.0288567779065861
codegemma_2b,gemma2_2b_it,layer_4,symbolic_code,0.9616140723228455,0.8505050755390071,0.7130314130314133,0.02732816455503689
codegemma_2b,gemma2_2b_it,layer_8,algebraic_geometry,0.924353301525116,0.8684694075403425,0.6755688755688757,0.03928650550105458
codegemma_2b,gemma2_2b_it,layer_8,analogy_composition,0.9383859038352966,0.8432772980609007,0.67020757020757,0.03547315422855575
codegemma_2b,gemma2_2b_it,layer_8,factual_recall,0.9314927458763123,0.8603669141626709,0.7599067599067602,0.036340373166631135
codegemma_2b,gemma2_2b_it,layer_8,logical_reasoning,0.9374150633811951,0.8655328404795192,0.7243201243201243,0.03666900682301565
codegemma_2b,gemma2_2b_it,layer_8,narrative_structure,0.9412088990211487,0.7565002325286433,0.6326562326562327,0.035352333831522434
codegemma_2b,gemma2_2b_it,layer_8,symbolic_code,0.9500072598457336,0.8581629216677333,0.6955710955710954,0.03302522035317152
codegemma_2b,gemma3_1b_it,layer_0,algebraic_geometry,0.5279566049575806,0.647147770130493,0.6031850502438737,0.09187988278355748
codegemma_2b,gemma3_1b_it,layer_0,analogy_composition,0.530707597732544,0.6955678145369035,0.551981351981352,0.0918909500516307
codegemma_2b,gemma3_1b_it,layer_0,factual_recall,0.5485890507698059,0.6263761832354866,0.5751332001332001,0.08689226661870321
codegemma_2b,gemma3_1b_it,layer_0,logical_reasoning,0.5329248309135437,0.6505266518645298,0.5368853368853369,0.09599336976920904
codegemma_2b,gemma3_1b_it,layer_0,narrative_structure,0.6038358807563782,0.6813265649760838,0.6038850038850039,0.08914060878933733
codegemma_2b,gemma3_1b_it,layer_0,symbolic_code,0.5955798029899597,0.6721121619040815,0.5867798867798869,0.08745952123937037
codegemma_2b,gemma3_1b_it,layer_12,algebraic_geometry,0.5435016751289368,0.7806837945758867,0.6440226440226441,0.09739631195209894
codegemma_2b,gemma3_1b_it,layer_12,analogy_composition,0.34103745222091675,0.6284978066498819,0.5309967809967809,0.12445595650742432
codegemma_2b,gemma3_1b_it,layer_12,factual_recall,0.3407544493675232,0.5760097501665604,0.5159784659784659,0.12170744346640558
codegemma_2b,gemma3_1b_it,layer_12,logical_reasoning,0.49447524547576904,0.6998445921418438,0.6422355422355422,0.1071835530763357
codegemma_2b,gemma3_1b_it,layer_12,narrative_structure,0.4074819087982178,0.7014163108273792,0.5798639269227505,0.1236756216089719
codegemma_2b,gemma3_1b_it,layer_12,symbolic_code,0.33513686060905457,0.6486344955877872,0.5554661025249261,0.13095736165221253
codegemma_2b,gemma3_1b_it,layer_4,algebraic_geometry,0.877071738243103,0.8105239985596344,0.7079226329226329,0.05360738171261917
codegemma_2b,gemma3_1b_it,layer_4,analogy_composition,0.8644585013389587,0.7733841446080324,0.6457320457320458,0.05308836275147465
codegemma_2b,gemma3_1b_it,layer_4,factual_recall,0.9026206731796265,0.8178442043511285,0.6556221556221558,0.05053641070315254
codegemma_2b,gemma3_1b_it,layer_4,logical_reasoning,0.8890708684921265,0.7638398278559109,0.6266400266400266,0.053037107262168016
codegemma_2b,gemma3_1b_it,layer_4,narrative_structure,0.907199501991272,0.7210886714085988,0.6530580530580531,0.04837669917639483
codegemma_2b,gemma3_1b_it,layer_4,symbolic_code,0.8937370181083679,0.7530799475753603,0.5912642912642914,0.05038777522529804
codegemma_2b,gemma3_1b_it,layer_8,algebraic_geometry,0.5147894024848938,0.8331996961820108,0.6953157953157952,0.09667923568620267
codegemma_2b,gemma3_1b_it,layer_8,analogy_composition,0.36014774441719055,0.7191711483707688,0.6022200022200024,0.12092395270980053
codegemma_2b,gemma3_1b_it,layer_8,factual_recall,0.34232297539711,0.7888733221855652,0.7086802086802084,0.12214388776664589
codegemma_2b,gemma3_1b_it,layer_8,logical_reasoning,0.4648854434490204,0.8070429208513318,0.6628815628815626,0.11616519067235995
codegemma_2b,gemma3_1b_it,layer_8,narrative_structure,0.4311569929122925,0.7442690801050242,0.6934398934398934,0.1133913001788862
codegemma_2b,gemma3_1b_it,layer_8,symbolic_code,0.46007436513900757,0.7996702321058639,0.6774447774447775,0.10118843463738654
codegemma_2b,gemma3_1b_pt,layer_0,algebraic_geometry,0.5299193263053894,0.6345286812054168,0.6091094091094091,0.0909806645320413
codegemma_2b,gemma3_1b_pt,layer_0,analogy_composition,0.5304107666015625,0.7111851379937224,0.5656870906870907,0.0917505361283773
codegemma_2b,gemma3_1b_pt,layer_0,factual_recall,0.5564492344856262,0.6522155824806067,0.5826284826284827,0.08559680861158436
codegemma_2b,gemma3_1b_pt,layer_0,logical_reasoning,0.5309122204780579,0.6423476208456461,0.5354978354978355,0.09567436692132482
codegemma_2b,gemma3_1b_pt,layer_0,narrative_structure,0.6095355153083801,0.7004240914253058,0.6112110112110112,0.08809065478195471
codegemma_2b,gemma3_1b_pt,layer_0,symbolic_code,0.5836974382400513,0.6881168387184246,0.6164946164946166,0.08811603223440972
codegemma_2b,gemma3_1b_pt,layer_12,algebraic_geometry,0.4945337176322937,0.7337084892635912,0.5605283605283605,0.11177453228275085
codegemma_2b,gemma3_1b_pt,layer_12,analogy_composition,0.44303154945373535,0.6698631215403164,0.5615023865023865,0.10605149234563704
