family_a,family_b,layer,mean_cka,mean_rsa,n
gemma,gemma,layer_0,0.9071037684168134,0.8853956031894459,28
gemma,gemma,layer_12,0.6332592362804073,0.8739990328303042,28
gemma,gemma,layer_4,0.9192402447972979,0.6898345006571605,28
gemma,gemma,layer_8,0.6782637525882039,0.8221610968165635,28
gemma,lfm,layer_0,0.9401594176888466,0.8802973378869147,24
gemma,lfm,layer_12,0.7146239752570788,0.7647415618891427,24
gemma,lfm,layer_4,0.9355472698807716,0.6372730634497163,24
gemma,lfm,layer_8,0.7162922012309233,0.7490725244311274,24
lfm,lfm,layer_0,0.9994167685508728,0.9950832763247431,3
lfm,lfm,layer_12,0.8270297249158224,0.6633437738867384,3
lfm,lfm,layer_4,0.9830195109049479,0.8541070009633072,3
lfm,lfm,layer_8,0.9358235398928324,0.8537950291446265,3
