model,layer,n,d,participation_ratio,anisotropy
codegemma_2b,layer_0,180,2048,7.630845546722412,0.2738170027732849
codegemma_2b,layer_12,180,2048,7.146266460418701,0.26747116446495056
codegemma_2b,layer_4,180,2048,8.562540054321289,0.18888212740421295
codegemma_2b,layer_8,180,2048,8.262470245361328,0.20608079433441162
gemma1_1_2b_it,layer_0,180,2048,8.796637535095215,0.23181241750717163
gemma1_1_2b_it,layer_12,180,2048,7.962775707244873,0.23190221190452576
gemma1_1_2b_it,layer_4,180,2048,8.8532075881958,0.1987103670835495
gemma1_1_2b_it,layer_8,180,2048,8.176003456115723,0.2142324596643448
gemma2_2b,layer_0,180,2304,9.404600143432617,0.18155595660209656
gemma2_2b,layer_12,180,2304,7.845705032348633,0.23200583457946777
gemma2_2b,layer_4,180,2304,9.126863479614258,0.195063054561615
gemma2_2b,layer_8,180,2304,8.62733268737793,0.19508634507656097
gemma2_2b_it,layer_0,180,2304,9.412471771240234,0.18170687556266785
gemma2_2b_it,layer_12,180,2304,7.507228851318359,0.26916930079460144
gemma2_2b_it,layer_4,180,2304,9.062859535217285,0.2053603231906891
gemma2_2b_it,layer_8,180,2304,8.311528205871582,0.210218146443367
gemma3_1b_it,layer_0,180,1152,9.263633728027344,0.19819100201129913
gemma3_1b_it,layer_12,180,1152,2.9397757053375244,0.5562761425971985
gemma3_1b_it,layer_4,180,1152,6.828348636627197,0.28906089067459106
gemma3_1b_it,layer_8,180,1152,2.976154327392578,0.5565659403800964
gemma3_1b_pt,layer_0,180,1152,9.476133346557617,0.18990519642829895
gemma3_1b_pt,layer_12,180,1152,3.398236036300659,0.5116894841194153
gemma3_1b_pt,layer_4,180,1152,7.556543827056885,0.22443076968193054
gemma3_1b_pt,layer_8,180,1152,2.0255234241485596,0.693083643913269
gemma3_4b_it,layer_0,180,2560,9.66486930847168,0.1859995424747467
gemma3_4b_it,layer_12,180,2560,1.268747329711914,0.8868581056594849
gemma3_4b_it,layer_4,180,2560,9.574151992797852,0.1766260713338852
gemma3_4b_it,layer_8,180,2560,2.3052988052368164,0.6468992233276367
gemma3_4b_pt,layer_0,180,2560,9.779322624206543,0.18346890807151794
gemma3_4b_pt,layer_12,180,2560,1.356453537940979,0.8570740818977356
gemma3_4b_pt,layer_4,180,2560,8.171476364135742,0.22821056842803955
gemma3_4b_pt,layer_8,180,2560,2.1209793090820312,0.6771482825279236
lfm2_5_1_2b_base,layer_0,180,2048,10.38090991973877,0.1824812889099121
lfm2_5_1_2b_base,layer_12,180,2048,8.052764892578125,0.21211354434490204
lfm2_5_1_2b_base,layer_4,180,2048,7.8863115310668945,0.21080709993839264
lfm2_5_1_2b_base,layer_8,180,2048,7.716245174407959,0.23896543681621552
lfm2_5_1_2b_instruct,layer_0,180,2048,10.453993797302246,0.17999108135700226
lfm2_5_1_2b_instruct,layer_12,180,2048,5.598278522491455,0.3509489893913269
lfm2_5_1_2b_instruct,layer_4,180,2048,8.022093772888184,0.1942451298236847
lfm2_5_1_2b_instruct,layer_8,180,2048,7.047758102416992,0.28093066811561584
lfm2_5_1_2b_thinking,layer_0,180,2048,10.516233444213867,0.1767083704471588
lfm2_5_1_2b_thinking,layer_12,180,2048,5.841708183288574,0.3281639814376831
lfm2_5_1_2b_thinking,layer_4,180,2048,7.532987594604492,0.20984555780887604
lfm2_5_1_2b_thinking,layer_8,180,2048,6.1329216957092285,0.2971091568470001
