model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
codegemma_2b,gemma1_1_2b_it,layer_0,cka,0.9899589136242867,0.9884141594171524,0.9916400820016861,40,180
codegemma_2b,gemma1_1_2b_it,layer_0,rsa_spearman,0.9431640158039711,0.935136377583768,0.9509954934841818,40,180
codegemma_2b,gemma1_1_2b_it,layer_12,cka,0.9845928713679314,0.9819333925843239,0.9874297440052032,40,180
codegemma_2b,gemma1_1_2b_it,layer_12,rsa_spearman,0.9479003082722416,0.9310875605180939,0.9599816236012864,40,180
codegemma_2b,gemma1_1_2b_it,layer_4,cka,0.9837641790509224,0.9807705014944077,0.986260962486267,40,180
codegemma_2b,gemma1_1_2b_it,layer_4,rsa_spearman,0.8929197518008657,0.8645935211451282,0.9128550523137405,40,180
codegemma_2b,gemma1_1_2b_it,layer_8,cka,0.9864691570401192,0.9847827136516571,0.9888282924890518,40,180
codegemma_2b,gemma1_1_2b_it,layer_8,rsa_spearman,0.9306254245440337,0.9172059024061937,0.9424762928265054,40,180
codegemma_2b,gemma2_2b,layer_0,cka,0.796979834139347,0.7571569070219993,0.8303477361798286,40,180
codegemma_2b,gemma2_2b,layer_0,rsa_spearman,0.7847468026942976,0.7613826888013508,0.8076419108679854,40,180
codegemma_2b,gemma2_2b,layer_12,cka,0.9619507431983948,0.9524730533361435,0.9694005161523819,40,180
codegemma_2b,gemma2_2b,layer_12,rsa_spearman,0.8774535510760444,0.8365257713909324,0.8990839356869315,40,180
codegemma_2b,gemma2_2b,layer_4,cka,0.9598764643073082,0.9535562410950661,0.9679966926574707,40,180
codegemma_2b,gemma2_2b,layer_4,rsa_spearman,0.6437777116795129,0.6044637182892094,0.698867763345232,40,180
codegemma_2b,gemma2_2b,layer_8,cka,0.9753406092524528,0.9728804245591164,0.9781097367405891,40,180
codegemma_2b,gemma2_2b,layer_8,rsa_spearman,0.7941542473372214,0.7533857160809012,0.831200811739096,40,180
codegemma_2b,gemma2_2b_it,layer_0,cka,0.7972972229123115,0.7574370041489601,0.8306987538933753,40,180
codegemma_2b,gemma2_2b_it,layer_0,rsa_spearman,0.7846971440402625,0.7618449045946429,0.8073294789352023,40,180
codegemma_2b,gemma2_2b_it,layer_12,cka,0.9744265362620353,0.9708777487277984,0.9787313386797905,40,180
codegemma_2b,gemma2_2b_it,layer_12,rsa_spearman,0.9149191525599644,0.8987910848393783,0.9295735697543613,40,180
codegemma_2b,gemma2_2b_it,layer_4,cka,0.9627797812223434,0.9580327406525612,0.9673923537135124,40,180
codegemma_2b,gemma2_2b_it,layer_4,rsa_spearman,0.678647240155892,0.6469207732303208,0.713772083525725,40,180
codegemma_2b,gemma2_2b_it,layer_8,cka,0.9650772392749787,0.9616777777671814,0.9704722315073013,40,180
codegemma_2b,gemma2_2b_it,layer_8,rsa_spearman,0.7993353280008397,0.7721240639463735,0.8306046776846321,40,180
codegemma_2b,gemma3_1b_it,layer_0,cka,0.7662710890173912,0.7243701130151748,0.8055143609642982,40,180
codegemma_2b,gemma3_1b_it,layer_0,rsa_spearman,0.8127229089199421,0.7871200826989199,0.8450810386160982,40,180
