model,family,generation,tune_type,mean_anisotropy,mean_participation_ratio
gemma1_1_2b_it,gemma,1.1,it,0.2191643640398979,8.447156071662903
codegemma_2b,gemma,1.2,code,0.23406277224421498,7.900530576705933
gemma2_2b_it,gemma,2.0,it,0.21661366149783132,8.573522090911865
gemma2_2b,gemma,2.0,pt,0.20092779770493502,8.75112533569336
gemma3_1b_it,gemma,3.0,it,0.4000234939157963,5.501978099346161
gemma3_4b_it,gemma,3.0,it,0.47409573569893837,5.703266859054565
gemma3_1b_pt,gemma,3.0,pt,0.40477727353572845,5.61410915851593
gemma3_4b_pt,gemma,3.0,pt,0.48647546023130417,5.357057958841324
lfm2_5_1_2b_base,lfm,2.5,base,0.21109184250235555,8.509057879447937
lfm2_5_1_2b_instruct,lfm,2.5,instruct,0.2515289671719074,7.780531048774719
lfm2_5_1_2b_thinking,lfm,2.5,thinking,0.2529567666351795,7.5059627294540405
