pair_label,mean_cka,mean_rsa,mean_knn,mean_procrustes
codegemma_2b vs gemma1_1_2b_it,0.985697478055954,0.927640368995341,0.7154140997890999,0.010206382713285375
gemma2_2b vs gemma2_2b_it,0.9775696992874146,0.9370425353597204,0.8245939245939247,0.00863129147790555
gemma2_2b vs lfm2_5_1_2b_base,0.9597447067499161,0.778271203950437,0.6705470455470456,0.016360797388727075
gemma2_2b_it vs lfm2_5_1_2b_base,0.9568108320236206,0.8039402250660976,0.6710563741813742,0.01635554754358355
lfm2_5_1_2b_base vs lfm2_5_1_2b_instruct,0.9547318518161774,0.8967281188896283,0.8459087209087209,0.00967237564367005
gemma2_2b_it vs lfm2_5_1_2b_instruct,0.9518517255783081,0.8226058254034063,0.6679006179006179,0.016598047239800275
lfm2_5_1_2b_base vs lfm2_5_1_2b_thinking,0.9416726529598236,0.8137238400952362,0.7706935425685426,0.012683398110501825
gemma2_2b vs lfm2_5_1_2b_instruct,0.9405910670757294,0.7772152932814044,0.6627590002590003,0.017553077843456298
gemma1_1_2b_it vs gemma2_2b_it,0.9307268559932709,0.7940590933242682,0.6997302466052466,0.0168697416505629
gemma1_1_2b_it vs gemma2_2b,0.9281842857599258,0.7539916294469926,0.6949738374370728,0.017593806279246775
gemma1_1_2b_it vs lfm2_5_1_2b_base,0.9233093708753586,0.810664911919677,0.6588366494616495,0.018952082022671474
codegemma_2b vs gemma2_2b_it,0.9200342893600464,0.7871847613800855,0.6726465663965664,0.01783645063983745
codegemma_2b vs gemma2_2b,0.9187126755714417,0.7692835361183391,0.6604979511229512,0.018260571876145427
gemma2_2b vs lfm2_5_1_2b_thinking,0.9142997413873672,0.6627583893141716,0.6486739567621921,0.019982550238215276
codegemma_2b vs lfm2_5_1_2b_base,0.9130049347877502,0.7991767906975737,0.6416957769898947,0.019393301699456002
lfm2_5_1_2b_instruct vs lfm2_5_1_2b_thinking,0.9125626534223557,0.8142948512546968,0.7852359446109446,0.013493788740094725
gemma2_2b_it vs lfm2_5_1_2b_thinking,0.9083784520626068,0.6957096456273356,0.6510496447996448,0.019986756334065124
gemma1_1_2b_it vs lfm2_5_1_2b_instruct,0.9032948613166809,0.8072278774587868,0.6538090381840382,0.0204096086333494
