model,family,generation,tune_type,params_b,tensors_used,global_mean,global_rms,global_abs_mean,global_n
gemma3_4b_pt,gemma,3.0,pt,4.0,142.0,0.001533090444220678,0.40888202881545715,0.015383133950684502,1548569856.0
gemma3_4b_it,gemma,3.0,it,4.0,142.0,0.0015182105619161695,0.4079200421651478,0.015569083791632724,1548569856.0
gemma3_1b_pt,gemma,3.0,pt,1.0,93.0,0.0014389255459770819,0.38639569157458725,0.023368701086475985,489885824.0
gemma3_1b_it,gemma,3.0,it,1.0,93.0,0.0009941880249570532,0.2616018171930438,0.021583928314783514,489885824.0
gemma2_2b_it,gemma,2.0,it,2.0,79.0,0.0001685991643148874,0.02946116114567927,0.017601641872223624,1134888192.0
gemma2_2b,gemma,2.0,pt,2.0,79.0,0.0001671627534730195,0.0295642550927288,0.017666484012582466,1134888192.0
gemma1_1_2b_it,gemma,1.1,it,2.0,47.0,0.0008237082985438218,0.12786144837433197,0.06399790011749171,1074812928.0
codegemma_2b,gemma,1.2,code,2.0,47.0,0.0007206422791026634,0.12175632577463498,0.06012412851796729,1074812928.0
lfm2_5_1_2b_thinking,lfm,2.5,thinking,1.2,20.0,6.455176795706976e-05,0.018979922239100788,0.01271327626648362,146819328.0
lfm2_5_1_2b_instruct,lfm,2.5,instruct,1.2,20.0,7.12695982269372e-05,0.018967320360447296,0.012482028107503672,146819328.0
lfm2_5_1_2b_base,lfm,2.5,base,1.2,20.0,7.517621631437845e-05,0.01906492653248083,0.012529640813716273,146819328.0
