model_a,model_b,layer,domain,cka,rsa_spearman,knn_overlap,procrustes_residual
codegemma_2b,gemma1_1_2b_it,layer_0,algebraic_geometry,0.9957834482192993,0.913946907494424,0.7738483738483739,0.011541426039034153
codegemma_2b,gemma1_1_2b_it,layer_0,analogy_composition,0.9950287938117981,0.9447973093810915,0.8100233100233101,0.010685104794443815
codegemma_2b,gemma1_1_2b_it,layer_0,factual_recall,0.9959850907325745,0.9397690840747863,0.7956099456099459,0.010924167886976007
codegemma_2b,gemma1_1_2b_it,layer_0,logical_reasoning,0.9944510459899902,0.9196455445195204,0.7926517926517928,0.011514870847501855
codegemma_2b,gemma1_1_2b_it,layer_0,narrative_structure,0.9969284534454346,0.9503152376208487,0.7870518370518371,0.011050227135623078
codegemma_2b,gemma1_1_2b_it,layer_0,symbolic_code,0.9953774809837341,0.9446189680353511,0.7864024864024864,0.011186422526271283
codegemma_2b,gemma1_1_2b_it,layer_10,algebraic_geometry,0.9144642353057861,0.8286563231376739,0.6153554778554778,0.028711948631181018
codegemma_2b,gemma1_1_2b_it,layer_10,analogy_composition,0.9167805314064026,0.7698052003505003,0.586990786990787,0.030088482499748218
codegemma_2b,gemma1_1_2b_it,layer_10,factual_recall,0.9398959875106812,0.832934394694304,0.657070707070707,0.026990358866151552
codegemma_2b,gemma1_1_2b_it,layer_10,logical_reasoning,0.9443060755729675,0.828585674325433,0.6761627261627261,0.02643375404891098
codegemma_2b,gemma1_1_2b_it,layer_10,narrative_structure,0.9318622350692749,0.8286745052469165,0.6266511266511267,0.027394531035852553
codegemma_2b,gemma1_1_2b_it,layer_10,symbolic_code,0.9162678122520447,0.7758316130669272,0.6105450105450106,0.029098845690771907
codegemma_2b,gemma1_1_2b_it,layer_12,algebraic_geometry,0.903931736946106,0.8136851220178966,0.578993228993229,0.03077211901197892
codegemma_2b,gemma1_1_2b_it,layer_12,analogy_composition,0.9050105214118958,0.7657156799933843,0.5649850149850149,0.03230711450303948
codegemma_2b,gemma1_1_2b_it,layer_12,factual_recall,0.9222059845924377,0.797468794822466,0.6335775335775334,0.03037294662080533
codegemma_2b,gemma1_1_2b_it,layer_12,logical_reasoning,0.9249517917633057,0.7757483826332704,0.6277777777777778,0.030255710567316393
codegemma_2b,gemma1_1_2b_it,layer_12,narrative_structure,0.9197845458984375,0.8043461332810824,0.6392662892662894,0.02962906652859597
codegemma_2b,gemma1_1_2b_it,layer_12,symbolic_code,0.9084601998329163,0.7502514714792156,0.5837703962703963,0.030665486567279174
codegemma_2b,gemma1_1_2b_it,layer_2,algebraic_geometry,0.9668226838111877,0.9056858135742701,0.7112054612054612,0.01830948522206722
codegemma_2b,gemma1_1_2b_it,layer_2,analogy_composition,0.9683109521865845,0.8944100038908568,0.7437728937728937,0.018076621354738795
codegemma_2b,gemma1_1_2b_it,layer_2,factual_recall,0.9786423444747925,0.9442253628078194,0.7706460206460207,0.015400837612433323
codegemma_2b,gemma1_1_2b_it,layer_2,logical_reasoning,0.9813529253005981,0.9295098668049593,0.7991452991452992,0.015518434365604404
codegemma_2b,gemma1_1_2b_it,layer_2,narrative_structure,0.9713934063911438,0.9203027492146618,0.7248973248973248,0.017366156481083188
codegemma_2b,gemma1_1_2b_it,layer_2,symbolic_code,0.9728102087974548,0.9276247724659809,0.7788544788544789,0.016785108729648952
codegemma_2b,gemma1_1_2b_it,layer_4,algebraic_geometry,0.9545044302940369,0.8831244950627606,0.6434454434454434,0.022156304048163402
codegemma_2b,gemma1_1_2b_it,layer_4,analogy_composition,0.9575950503349304,0.8648974628962408,0.6654512154512154,0.021881025745678205
codegemma_2b,gemma1_1_2b_it,layer_4,factual_recall,0.9524880051612854,0.8731022576311936,0.6540667665667664,0.0222795017459988
