model,layer,n,d,participation_ratio,anisotropy
codegemma_2b,layer_0,360,2048,7.326756000518799,0.2913600504398346
codegemma_2b,layer_10,360,2048,7.728618144989014,0.2379526048898697
codegemma_2b,layer_12,360,2048,7.2420334815979,0.2646976113319397
codegemma_2b,layer_2,360,2048,9.881943702697754,0.171074777841568
codegemma_2b,layer_4,360,2048,8.744632720947266,0.18830372393131256
codegemma_2b,layer_6,360,2048,8.072453498840332,0.2088792473077774
codegemma_2b,layer_8,360,2048,8.3572359085083,0.20718637108802795
gemma1_1_2b_it,layer_0,360,2048,8.614234924316406,0.24528679251670837
gemma1_1_2b_it,layer_10,360,2048,7.57260799407959,0.24842789769172668
gemma1_1_2b_it,layer_12,360,2048,8.002653121948242,0.2336263358592987
gemma1_1_2b_it,layer_2,360,2048,9.950249671936035,0.1797311007976532
gemma1_1_2b_it,layer_4,360,2048,9.022638320922852,0.20271888375282288
gemma1_1_2b_it,layer_6,360,2048,8.261831283569336,0.2205381840467453
gemma1_1_2b_it,layer_8,360,2048,8.232699394226074,0.21958495676517487
gemma2_2b,layer_0,360,2304,9.724872589111328,0.176687091588974
gemma2_2b,layer_10,360,2304,8.204005241394043,0.2319769412279129
gemma2_2b,layer_12,360,2304,7.8101630210876465,0.23276273906230927
gemma2_2b,layer_2,360,2304,9.943081855773926,0.18224027752876282
gemma2_2b,layer_4,360,2304,9.39721965789795,0.19026848673820496
gemma2_2b,layer_6,360,2304,8.393499374389648,0.18998029828071594
gemma2_2b,layer_8,360,2304,8.679802894592285,0.19969692826271057
gemma2_2b_it,layer_0,360,2304,9.734785079956055,0.1768663078546524
gemma2_2b_it,layer_10,360,2304,7.787303924560547,0.2535513639450073
gemma2_2b_it,layer_12,360,2304,7.459239482879639,0.2704130709171295
gemma2_2b_it,layer_2,360,2304,10.132349014282227,0.19771429896354675
gemma2_2b_it,layer_4,360,2304,9.306949615478516,0.20166827738285065
gemma2_2b_it,layer_6,360,2304,8.408486366271973,0.20114567875862122
gemma2_2b_it,layer_8,360,2304,8.343137741088867,0.21327808499336243
gemma3_1b_it,layer_0,360,1152,9.480552673339844,0.1970377117395401
gemma3_1b_it,layer_10,360,1152,4.563553810119629,0.4191592335700989
gemma3_1b_it,layer_12,360,1152,2.877332925796509,0.5632981657981873
gemma3_1b_it,layer_2,360,1152,8.924460411071777,0.22046583890914917
gemma3_1b_it,layer_4,360,1152,6.900840759277344,0.290271520614624
gemma3_1b_it,layer_6,360,1152,3.8257386684417725,0.47485700249671936
gemma3_1b_it,layer_8,360,1152,3.022115468978882,0.5516213178634644
gemma3_1b_pt,layer_0,360,1152,9.735404014587402,0.18776847422122955
gemma3_1b_pt,layer_10,360,1152,3.049325466156006,0.5487644076347351
gemma3_1b_pt,layer_12,360,1152,3.3018763065338135,0.5215016007423401
gemma3_1b_pt,layer_2,360,1152,7.193812370300293,0.29618310928344727
gemma3_1b_pt,layer_4,360,1152,7.678554058074951,0.22682492434978485
gemma3_1b_pt,layer_6,360,1152,4.855043411254883,0.38416287302970886
gemma3_1b_pt,layer_8,360,1152,1.9247379302978516,0.7128782868385315
gemma3_4b_it,layer_0,360,2560,9.96439266204834,0.18305586278438568
gemma3_4b_it,layer_10,360,2560,1.599147915840149,0.7873413562774658
gemma3_4b_it,layer_12,360,2560,1.2786861658096313,0.8833597302436829
gemma3_4b_it,layer_2,360,2560,9.372538566589355,0.21304145455360413
gemma3_4b_it,layer_4,360,2560,9.97763729095459,0.17716486752033234
gemma3_4b_it,layer_6,360,2560,2.1368353366851807,0.6753442883491516
gemma3_4b_it,layer_8,360,2560,2.3442459106445312,0.6415079832077026
gemma3_4b_pt,layer_0,360,2560,10.084573745727539,0.18021613359451294
gemma3_4b_pt,layer_10,360,2560,1.4878886938095093,0.8173065781593323
gemma3_4b_pt,layer_12,360,2560,1.3561872243881226,0.8571903705596924
gemma3_4b_pt,layer_2,360,2560,9.20357608795166,0.21608063578605652
gemma3_4b_pt,layer_4,360,2560,8.588709831237793,0.2200063169002533
gemma3_4b_pt,layer_6,360,2560,2.65403151512146,0.5980947017669678
gemma3_4b_pt,layer_8,360,2560,1.999912142753601,0.6994003653526306
lfm2_5_1_2b_base,layer_0,360,2048,10.783709526062012,0.17771293222904205
lfm2_5_1_2b_base,layer_10,360,2048,7.706391334533691,0.23928005993366241
lfm2_5_1_2b_base,layer_12,360,2048,8.091989517211914,0.2152455449104309
lfm2_5_1_2b_base,layer_2,360,2048,9.941590309143066,0.19356630742549896
lfm2_5_1_2b_base,layer_4,360,2048,8.01949691772461,0.2122267782688141
lfm2_5_1_2b_base,layer_6,360,2048,8.371769905090332,0.1941472887992859
lfm2_5_1_2b_base,layer_8,360,2048,7.783642768859863,0.24123813211917877
lfm2_5_1_2b_instruct,layer_0,360,2048,10.861268043518066,0.17530213296413422
lfm2_5_1_2b_instruct,layer_10,360,2048,5.538156032562256,0.35853150486946106
lfm2_5_1_2b_instruct,layer_12,360,2048,5.543764591217041,0.3557557463645935
lfm2_5_1_2b_instruct,layer_2,360,2048,10.03847599029541,0.1867220103740692
lfm2_5_1_2b_instruct,layer_4,360,2048,8.154273986816406,0.19479359686374664
lfm2_5_1_2b_instruct,layer_6,360,2048,8.51099681854248,0.19847555458545685
lfm2_5_1_2b_instruct,layer_8,360,2048,7.113102436065674,0.28010624647140503
lfm2_5_1_2b_thinking,layer_0,360,2048,10.964905738830566,0.171507328748703
lfm2_5_1_2b_thinking,layer_10,360,2048,5.549311637878418,0.33026349544525146
lfm2_5_1_2b_thinking,layer_12,360,2048,5.750128269195557,0.33577677607536316
lfm2_5_1_2b_thinking,layer_2,360,2048,10.582242965698242,0.16733567416667938
lfm2_5_1_2b_thinking,layer_4,360,2048,7.656345367431641,0.209922194480896
lfm2_5_1_2b_thinking,layer_6,360,2048,6.989731788635254,0.26792290806770325
lfm2_5_1_2b_thinking,layer_8,360,2048,6.150757789611816,0.29541414976119995
