model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
codegemma_2b,gemma1_1_2b_it,layer_0,cka,0.9888892511526743,0.9875814735889434,0.9903224155306816,60,240
codegemma_2b,gemma1_1_2b_it,layer_0,rsa_spearman,0.9477902483121851,0.9404903938958271,0.9549146688109825,60,240
codegemma_2b,gemma1_1_2b_it,layer_10,cka,0.9883791774511337,0.9870386138558388,0.9896059095859527,60,240
codegemma_2b,gemma1_1_2b_it,layer_10,rsa_spearman,0.9526432366220825,0.9426323038146842,0.9613633901881886,60,240
codegemma_2b,gemma1_1_2b_it,layer_12,cka,0.9842074235280355,0.9822308197617531,0.9859024047851562,60,240
codegemma_2b,gemma1_1_2b_it,layer_12,rsa_spearman,0.9447282796064526,0.9319788068530263,0.9545057688013355,60,240
codegemma_2b,gemma1_1_2b_it,layer_2,cka,0.9845294068257014,0.9834371134638786,0.9854805201292038,60,240
codegemma_2b,gemma1_1_2b_it,layer_2,rsa_spearman,0.8453182277038963,0.8312973423775499,0.8648771148340922,60,240
codegemma_2b,gemma1_1_2b_it,layer_4,cka,0.982819668451945,0.9802923157811165,0.9848743110895157,60,240
codegemma_2b,gemma1_1_2b_it,layer_4,rsa_spearman,0.8986227831622166,0.8817177118295989,0.9136333548154838,60,240
codegemma_2b,gemma1_1_2b_it,layer_6,cka,0.9862914582093557,0.9851667374372483,0.9877223089337349,60,240
codegemma_2b,gemma1_1_2b_it,layer_6,rsa_spearman,0.9282580651504829,0.9158729122429035,0.9380027755487776,60,240
codegemma_2b,gemma1_1_2b_it,layer_8,cka,0.9865479618310928,0.9853448644280434,0.9879270553588867,60,240
codegemma_2b,gemma1_1_2b_it,layer_8,rsa_spearman,0.9312577393034773,0.9177911584588411,0.9429322528561822,60,240
codegemma_2b,gemma2_2b,layer_0,cka,0.7504096140464147,0.7069335073232651,0.78681760430336,60,240
codegemma_2b,gemma2_2b,layer_0,rsa_spearman,0.7959208244452303,0.7708363427404864,0.8168218169248929,60,240
codegemma_2b,gemma2_2b,layer_10,cka,0.9787424196799596,0.975571395456791,0.981582972407341,60,240
codegemma_2b,gemma2_2b,layer_10,rsa_spearman,0.8967033581790249,0.871087337422641,0.9149380995635732,60,240
codegemma_2b,gemma2_2b,layer_12,cka,0.9568497528632481,0.9491184160113335,0.9643351897597313,60,240
codegemma_2b,gemma2_2b,layer_12,rsa_spearman,0.8663228674981999,0.8372736009655362,0.8915243743270242,60,240
codegemma_2b,gemma2_2b,layer_2,cka,0.9589631646871567,0.9532499074935913,0.9655004218220711,60,240
codegemma_2b,gemma2_2b,layer_2,rsa_spearman,0.6807124384480218,0.6398912721297331,0.7147641378059072,60,240
codegemma_2b,gemma2_2b,layer_4,cka,0.9578646918137869,0.9511728957295418,0.9650396332144737,60,240
codegemma_2b,gemma2_2b,layer_4,rsa_spearman,0.6137202356352308,0.5718273160908144,0.6537981751165292,60,240
codegemma_2b,gemma2_2b,layer_6,cka,0.9716721653938294,0.9666379198431969,0.9755289196968079,60,240
codegemma_2b,gemma2_2b,layer_6,rsa_spearman,0.8262191030388633,0.7983671564145627,0.8507336935380481,60,240
codegemma_2b,gemma2_2b,layer_8,cka,0.976445397734642,0.9743427410721779,0.9790896803140641,60,240
codegemma_2b,gemma2_2b,layer_8,rsa_spearman,0.8051260760539745,0.7793347484821213,0.8273575869957691,60,240
codegemma_2b,gemma2_2b_it,layer_0,cka,0.7507174203793208,0.7072471961379051,0.7871680423617363,60,240
codegemma_2b,gemma2_2b_it,layer_0,rsa_spearman,0.7960466712573632,0.7713894102874358,0.8168240772120486,60,240
codegemma_2b,gemma2_2b_it,layer_10,cka,0.9701824128627777,0.9660377442836762,0.9733365625143051,60,240
codegemma_2b,gemma2_2b_it,layer_10,rsa_spearman,0.882337639926808,0.8568862949949178,0.9038162010085085,60,240
codegemma_2b,gemma2_2b_it,layer_12,cka,0.9728611250718434,0.9695750445127487,0.9757196232676506,60,240
codegemma_2b,gemma2_2b_it,layer_12,rsa_spearman,0.9088637198300729,0.8857432175094493,0.9267353419012946,60,240
codegemma_2b,gemma2_2b_it,layer_2,cka,0.9582984765370687,0.952022984623909,0.96640115827322,60,240
codegemma_2b,gemma2_2b_it,layer_2,rsa_spearman,0.7158333508695642,0.6854523497933013,0.7499260249082769,60,240
codegemma_2b,gemma2_2b_it,layer_4,cka,0.962170750896136,0.957801704108715,0.966904553771019,60,240
codegemma_2b,gemma2_2b_it,layer_4,rsa_spearman,0.6577521903298408,0.6276364791044087,0.6910185159944234,60,240
codegemma_2b,gemma2_2b_it,layer_6,cka,0.971113524834315,0.9670756906270981,0.9750820994377136,60,240
codegemma_2b,gemma2_2b_it,layer_6,rsa_spearman,0.8442987690000475,0.8239003677365313,0.8656422270040597,60,240
