from_model,to_model,from_layer,to_layer,cka
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_0,0.7982422709465027
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_0,0.9799202084541321
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_0,0.9629494547843933
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_6,0.9661833643913269
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_6,0.9754700660705566
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_12,0.9785951375961304
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_6,0.9764328002929688
gemma2_2b_it,gemma3_1b_it,layer_0,layer_0,0.9874936938285828
gemma2_2b_it,gemma3_1b_it,layer_2,layer_0,0.9267456531524658
gemma2_2b_it,gemma3_1b_it,layer_4,layer_0,0.9355579018592834
gemma2_2b_it,gemma3_1b_it,layer_6,layer_0,0.9504095315933228
gemma2_2b_it,gemma3_1b_it,layer_8,layer_0,0.9284929633140564
gemma2_2b_it,gemma3_1b_it,layer_10,layer_0,0.9298043251037598
gemma2_2b_it,gemma3_1b_it,layer_12,layer_0,0.9224234223365784
gemma3_1b_it,gemma3_4b_it,layer_0,layer_0,0.9964927434921265
gemma3_1b_it,gemma3_4b_it,layer_2,layer_0,0.9247157573699951
gemma3_1b_it,gemma3_4b_it,layer_4,layer_0,0.8814983367919922
gemma3_1b_it,gemma3_4b_it,layer_6,layer_6,0.7322171926498413
gemma3_1b_it,gemma3_4b_it,layer_8,layer_6,0.7645412683486938
gemma3_1b_it,gemma3_4b_it,layer_10,layer_0,0.6882730722427368
gemma3_1b_it,gemma3_4b_it,layer_12,layer_6,0.6153465509414673
gemma2_2b,gemma3_1b_pt,layer_0,layer_0,0.9890554547309875
gemma2_2b,gemma3_1b_pt,layer_2,layer_0,0.9335078001022339
gemma2_2b,gemma3_1b_pt,layer_4,layer_0,0.9350757002830505
gemma2_2b,gemma3_1b_pt,layer_6,layer_0,0.9510833621025085
gemma2_2b,gemma3_1b_pt,layer_8,layer_0,0.9350903034210205
gemma2_2b,gemma3_1b_pt,layer_10,layer_0,0.9369283318519592
gemma2_2b,gemma3_1b_pt,layer_12,layer_0,0.9144545793533325
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_0,0.9976361989974976
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_2,0.8921287059783936
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_0,0.9278509020805359
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_0,0.8046720623970032
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_8,0.8787642121315002
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_8,0.7203547954559326
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_12,0.7171788811683655
