from_model,to_model,from_layer,to_layer,cka
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_0,0.7982422709465027
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_2,0.734006404876709
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_4,0.7329664826393127
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_6,0.7409348487854004
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_8,0.7225461602210999
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_10,0.7156343460083008
gemma1_1_2b_it,gemma2_2b_it,layer_0,layer_12,0.7115225195884705
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_0,0.9799202084541321
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_2,0.9461109042167664
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_4,0.9469158053398132
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_6,0.9585810899734497
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_8,0.9371917843818665
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_10,0.9241424798965454
gemma1_1_2b_it,gemma2_2b_it,layer_2,layer_12,0.9185729622840881
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_0,0.9629494547843933
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_2,0.9321456551551819
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_4,0.9400202035903931
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_6,0.9571775197982788
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_8,0.9404221177101135
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_10,0.9329543709754944
gemma1_1_2b_it,gemma2_2b_it,layer_4,layer_12,0.9298030734062195
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_0,0.9590186476707458
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_2,0.9323437213897705
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_4,0.9408528804779053
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_6,0.9661833643913269
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_8,0.9539276361465454
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_10,0.9500300288200378
gemma1_1_2b_it,gemma2_2b_it,layer_6,layer_12,0.9469594359397888
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_0,0.9531131386756897
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_2,0.9370253086090088
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_4,0.9478119611740112
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_6,0.9754700660705566
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_8,0.9681874513626099
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_10,0.9663687944412231
gemma1_1_2b_it,gemma2_2b_it,layer_8,layer_12,0.9617864489555359
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_0,0.9471014738082886
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_2,0.9187478423118591
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_4,0.9300897121429443
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_6,0.9732705950737
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_8,0.9668593406677246
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_10,0.9784716963768005
gemma1_1_2b_it,gemma2_2b_it,layer_10,layer_12,0.9785951375961304
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_0,0.9518395066261292
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_2,0.9270210862159729
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_4,0.9368948936462402
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_6,0.9764328002929688
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_8,0.968423068523407
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_10,0.9758759140968323
gemma1_1_2b_it,gemma2_2b_it,layer_12,layer_12,0.9762406349182129
gemma2_2b_it,gemma3_1b_it,layer_0,layer_0,0.9874936938285828
gemma2_2b_it,gemma3_1b_it,layer_0,layer_2,0.9248467087745667
gemma2_2b_it,gemma3_1b_it,layer_0,layer_4,0.8870609998703003
gemma2_2b_it,gemma3_1b_it,layer_0,layer_6,0.7031943798065186
