model,family,generation,tune_type,mean_anisotropy,mean_participation_ratio
gemma1_1_2b_it,gemma,1.1,it,0.2214163073471614,8.522416387285505
codegemma_2b,gemma,1.2,code,0.22420776954719,8.193381922585624
gemma2_2b_it,gemma,2.0,it,0.21637672611645287,8.738893032073975
gemma2_2b,gemma,2.0,pt,0.20051610895565575,8.878949233463832
gemma3_1b_it,gemma,3.0,it,0.3881015415702547,5.656370673860822
gemma3_4b_it,gemma,3.0,it,0.5086879347051892,5.2390691212245395
gemma3_1b_pt,gemma,3.0,pt,0.41115481087139677,5.391250508172171
gemma3_4b_pt,gemma,3.0,pt,0.5126135860170636,5.053554177284241
lfm2_5_1_2b_base,lfm,2.5,base,0.21048814909798755,8.671227182660784
lfm2_5_1_2b_instruct,lfm,2.5,instruct,0.24995525607040947,7.965719699859619
lfm2_5_1_2b_thinking,lfm,2.5,thinking,0.25402036096368513,7.6633462224687845
