pair_label,mean_cka,mean_rsa,mean_knn,mean_procrustes
codegemma_2b vs gemma1_1_2b_it,0.9853915572166443,0.9194460821961495,0.6745095512952657,0.007857948942867043
gemma2_2b vs gemma2_2b_it,0.9778225251606533,0.932574650300781,0.7921445727993347,0.006745631494241857
lfm2_5_1_2b_base vs lfm2_5_1_2b_instruct,0.9561620695250375,0.9115814379817296,0.812489494632352,0.007364141819284743
gemma2_2b vs lfm2_5_1_2b_base,0.9559263757296971,0.7466491938526503,0.5870434440287381,0.012591537288073927
gemma2_2b_it vs lfm2_5_1_2b_base,0.954212520803724,0.7776958218511749,0.588311756974222,0.012536174109479029
gemma2_2b_it vs lfm2_5_1_2b_instruct,0.9477752106530326,0.7965402224421924,0.5860804610629541,0.012863473177448929
gemma1_1_2b_it vs gemma2_2b_it,0.9390652179718018,0.7989166214600113,0.6582282563375,0.011866526341324301
lfm2_5_1_2b_base vs lfm2_5_1_2b_thinking,0.9379439609391349,0.8333422893615126,0.7247996381924953,0.00990920338530783
gemma1_1_2b_it vs gemma2_2b,0.9355161190032959,0.7612473399980956,0.6480103780699019,0.01239552564267087
gemma2_2b vs lfm2_5_1_2b_instruct,0.9354812162263053,0.7530106715767578,0.5810647400633394,0.013556248006987773
codegemma_2b vs gemma2_2b,0.9329622898783002,0.780766807381539,0.6379200151959256,0.012482737082755458
codegemma_2b vs gemma2_2b_it,0.9329584411212376,0.7963160842580078,0.6418977407072646,0.0122808458946674
gemma1_1_2b_it vs lfm2_5_1_2b_base,0.9317642365183149,0.8311322823230174,0.5815307980223947,0.013500255306133442
codegemma_2b vs lfm2_5_1_2b_base,0.9283502612795148,0.8175116965518926,0.5811696201402085,0.013510716415559943
lfm2_5_1_2b_instruct vs lfm2_5_1_2b_thinking,0.9182599612644741,0.8332088010712058,0.7355056571968337,0.010090756928957943
gemma1_1_2b_it vs lfm2_5_1_2b_instruct,0.913820607321603,0.8142728524885197,0.5822507227444201,0.0144707165442787
gemma2_2b vs lfm2_5_1_2b_thinking,0.9122904283659798,0.6642225910830588,0.5697319824070525,0.01516803311157983
codegemma_2b vs lfm2_5_1_2b_instruct,0.910954373223441,0.8187700619620494,0.5762999728510934,0.014416530957135442
gemma2_2b_it vs lfm2_5_1_2b_thinking,0.9051072256905692,0.6865537116181335,0.5736614757273021,0.015218103523717986
codegemma_2b vs lfm2_5_1_2b_thinking,0.9009160058838981,0.7793354744007399,0.5730321408542698,0.015314651213101957
gemma1_1_2b_it vs lfm2_5_1_2b_thinking,0.8985372696604047,0.7668319309571966,0.5697593075044055,0.015721778213779285
gemma3_1b_pt vs gemma3_4b_pt,0.8155189241681781,0.8344285663721258,0.6666187084779522,0.023781333988262043
gemma2_2b_it vs gemma3_1b_it,0.7941405943461827,0.7974551940429926,0.6275233293265506,0.01990695394002834
gemma3_1b_pt vs lfm2_5_1_2b_thinking,0.7894810608455113,0.6889187976309957,0.5142308167831534,0.022344322988118857
gemma2_2b vs gemma3_1b_pt,0.7789660692214966,0.709284944713745,0.5970028013795521,0.021592350795623143
gemma2_2b vs gemma3_1b_it,0.7707993473325457,0.7509151658326062,0.6106508583749479,0.021253743270719327
