model_a,model_b,rep_drift,rsa_drift,knn_drift,procrustes,domain_cka_std,weight_drift,weight_l2,drift_index
codegemma_2b,gemma1_1_2b_it,0.014608442783355713,0.08055391780385046,0.3254904487047343,0.007857948942867043,0.027873173890972006,0.0024474423193789896,0.6109873526761183,0.11990769158718874
codegemma_2b,gemma2_2b,0.06703771012169979,0.21923319261846097,0.36207998480407444,0.012482737082755458,0.12677111338456806,0.8842669232057125,10.658241943850689,0.4278511071957712
codegemma_2b,gemma2_2b_it,0.0670415588787624,0.20368391574199218,0.3581022592927354,0.0122808458946674,0.13008976854835225,0.9372406274491164,11.142514481789236,0.4166007275079427
codegemma_2b,gemma3_1b_it,0.2502162967409406,0.20601975398633665,0.39003837678557574,0.0225473327534528,0.21336297018248548,0.9819996855524314,142.08134146215534,0.7090834284518215
codegemma_2b,gemma3_1b_pt,0.25356076444898334,0.23969211985543404,0.4102564536563137,0.022483080644262573,0.1972546475334776,0.9935811785229507,212.27133411889423,0.7536810115185034
codegemma_2b,gemma3_4b_it,0.3200473189353943,0.18788071366980608,0.3854842591012059,0.028336499333556954,0.2544190036548183,0.9067153380430361,248.735775068429,0.7971094823816094
codegemma_2b,gemma3_4b_pt,0.29658280525888714,0.17809346436388773,0.3977058396526184,0.027590876721797573,0.23113117991471835,0.9069711428812249,249.14414923066204,0.7663592340241537
gemma1_1_2b_it,gemma2_2b,0.0644838809967041,0.23875266000190443,0.3519896219300981,0.01239552564267087,0.10793222110560312,0.8827269589402683,10.582312999053975,0.43380063396302426
gemma1_1_2b_it,gemma2_2b_it,0.06093478202819824,0.2010833785399887,0.34177174366249996,0.011866526341324301,0.11106301431573701,0.9377504260956281,11.078554011919175,0.3948775678041353
gemma1_1_2b_it,gemma3_1b_it,0.23513184274945942,0.18876075141670756,0.411514209413369,0.02208590606402149,0.2049043890979386,0.9856895102188077,142.10911010008437,0.6894881080905235
gemma1_1_2b_it,gemma3_1b_pt,0.24016754967825749,0.2215278107776596,0.43034849591222135,0.022561235198873503,0.1887152733856896,0.996250997791256,212.29113091870337,0.7375688834108137
gemma1_1_2b_it,gemma3_4b_it,0.2940213893141065,0.14258171032946532,0.40839560053495627,0.027698993551588984,0.25231123955821055,0.8981905789940448,248.66770470422824,0.7412616413558983
gemma1_1_2b_it,gemma3_4b_pt,0.27042408500398907,0.1514678586913324,0.42094221203114757,0.027012811820530915,0.22689673690299356,0.898431237325203,249.0759310019462,0.7261047983506119
gemma2_2b,gemma2_2b_it,0.022177474839346734,0.06742534969921898,0.2078554272006653,0.006745631494241857,0.032322922550766166,0.41449085039408906,6.7518149399675,0.07621898966180773
gemma2_2b,gemma3_1b_it,0.22920065266745426,0.2490848341673938,0.3893491416250521,0.021253743270719327,0.24512472257951404,0.891285859785854,141.36676496691965,0.7035974351520897
gemma2_2b,gemma3_1b_pt,0.22103393077850342,0.29071505528625496,0.4029971986204479,0.021592350795623143,0.21197348795814833,0.8950277495725546,211.50996859323988,0.7394719408373811
gemma2_2b,gemma3_4b_it,0.28708168864250183,0.24971323274931922,0.37858120326607725,0.026131506630305185,0.2853264112569269,0.9595556647301317,249.2072303936077,0.7980224153778706
gemma2_2b,gemma3_4b_pt,0.26185739040374756,0.25866640056122314,0.3860497047821978,0.025387238203837415,0.25283416493531247,0.9598784957366691,249.6157992836574,0.7775512336939581
gemma2_2b_it,gemma3_1b_it,0.20585940565381733,0.2025448059570074,0.37247667067344936,0.01990695394002834,0.23910338287158125,0.897726331247151,141.39960133102306,0.6215891104773523
gemma2_2b_it,gemma3_1b_pt,0.2372961810656956,0.26074607647194836,0.3973568454835962,0.022165840581321043,0.2087001144470276,0.8982044661818643,211.51422215226916,0.7333948319838886
gemma2_2b_it,gemma3_4b_it,0.25980596031461445,0.21440023565456523,0.35652462228092474,0.02531370246447803,0.27719518674618815,0.9818657750021706,249.3727491726256,0.7222907660878704
gemma2_2b_it,gemma3_4b_pt,0.2787855863571167,0.25444147098504366,0.3767031385203653,0.02570351737863227,0.2503533646257944,0.9819797452080444,249.77981656424632,0.791029873437111
gemma3_1b_it,gemma3_1b_pt,0.30323249953133724,0.1425688265955889,0.34906945489928687,0.022640002614889188,0.3108294775737699,0.006418196677003607,72.8798231272701,0.5961646211142901
gemma3_1b_it,gemma3_4b_it,0.25478945033890865,0.1554735691476259,0.3465428498516733,0.027246612584297773,0.2777617491084845,1.0303489813002547,290.6945329009849,0.6791464363991613
gemma3_1b_it,gemma3_4b_pt,0.3250727525779179,0.185431395035635,0.36496819784634915,0.02943618401169094,0.2808283709034451,1.0304427089390071,291.0607009858869,0.8064608565124017
gemma3_1b_pt,gemma3_4b_it,0.3759082811219352,0.1674535369123893,0.3450850697699437,0.031108797111305216,0.3068833926774014,1.0259409071627756,331.58780205894,0.8453983695943501
gemma3_1b_pt,gemma3_4b_pt,0.18448107583182194,0.1655714336278742,0.33338129152204776,0.023781333988262043,0.2486844439923223,1.0259849670498495,331.9073417493605,0.5794116222274911
gemma3_4b_it,gemma3_4b_pt,0.2639446258544922,0.044525883254525445,0.1936333507762079,0.020617535857374986,0.18574920297536898,1.0743604567764464e-05,1.22629329692179,0.3614505351574745
