edge_type,model_from,model_to,layer,mode_rank,singular_value
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,1,0.9821702837944031
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,2,0.9272252917289734
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,3,0.9151659607887268
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,4,0.9064656496047974
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,5,0.8813614249229431
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,6,0.8653377294540405
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,7,0.8572993278503418
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,8,0.8337782621383667
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,9,0.8113107681274414
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,10,0.8013407588005066
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,11,0.7896354794502258
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,12,0.784731924533844
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,13,0.7767793536186218
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,14,0.7657783031463623
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,15,0.7646546363830566
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_0,16,0.759337306022644
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,1,5.136519432067871
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,2,4.397854804992676
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,3,3.79884672164917
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,4,3.4913179874420166
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,5,3.43345046043396
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,6,3.2415082454681396
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,7,3.141000747680664
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,8,3.0921895503997803
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,9,3.0735349655151367
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,10,2.9412989616394043
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,11,2.895453453063965
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,12,2.8557448387145996
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,13,2.818619966506958
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,14,2.7869951725006104
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,15,2.7549870014190674
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_2,16,2.704746723175049
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,1,6.056424617767334
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,2,5.123336315155029
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,3,5.03369665145874
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,4,4.861935615539551
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,5,4.627920150756836
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,6,4.526845455169678
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,7,4.477497100830078
it_lineage,gemma1_1_2b_it,gemma2_2b_it,layer_4,8,4.406058311462402
